variable,section,description,model table equivalent,data type[dimensions],estimated,prior (if estimated),bounds
sd_matt,parameters,standard deviation for prior on logit_matt,mat_sd,vector[4],T,"gamma(2, 5) ",-
vuluse,transformed parameters,"full vector of vulnerabilities for each age class, with ages 1, 4, 5, 6 fixed, to be used for correct indexing, generated from vulest",-,vector[6],,,
vulest,transformed parameters,"vector of estimated vulnerabilities for ages 2:3, calculated as inverse logit of logit_vulest",-,vector[2],,,
mattuse,transformed parameters,"full vector of maturation rates (mean across all years) with ages 1 and 6 fixed, to be used for correct indexing, generate from bmattest",-,vector[6],,,
bmattest,transformed parameters,"vector of estimated maturation rates (mean across all years) for age classes 2:5, calculated as inverse logit of est_logit_bmatt",-,vector[4],,,
lo,transformed parameters,unfished survivorship from smolts to age a,L,vector[6],,,
lhist,transformed parameters,fished survivorship from smolts to age a (calculated using mo2pest and historic fishing rate),-,vector[6],,,
epro,transformed parameters,unfished egg production per smolt (across all age classes that one smolt would yield) - initialized at 0 and then cumulatively add up age classes ,EPSo,real,,,
spro,transformed parameters,unfished spawner production per smolt cumulative across all age classes ,spro,real,,,
sprhist,transformed parameters,historic fished spawner production per smolt cumulative across all age classes,-,real,,,
memax,transformed parameters,"log of the unfished egg-smolt mortality rate, calculated as the inverse of epro ",MESo,real,,,
rhist,transformed parameters,"historical recruitment, calculated from historical spawners and historical spawners per smolt",-,real,,,
so,transformed parameters,unfished spawning stock size in units of 10 000,so,real,,,
ro,transformed parameters,unfished recruitment calculated from so and sprio,ro,real,,,
eo,transformed parameters,Total egg production at the average rate of mortality MESo,Eo,real,,,
mden,transformed parameters,"Ricker b parameter for egg-smolt relationship, calculated from compensation ratio and total egg production eo",b,real,,,
memin,transformed parameters,Ricker a parameter for minimum egg-smolt mortality at low population density,MESmin,real,,,
N,transformed parameters,abundance by year and age class,N,array[41]vector[6],,,
Ncwt,transformed parameters,predicted number of CWT fish alive by year and age,-,"matrix[41,6]",,,
mo,transformed parameters,"annual ocean mortality for each age class calculated as a sum of mo1est, mo2pest, Mx",M,vector[5],,,
sfish,transformed parameters,"predicted survival rate from fishing, calculated from vulnerability*fishing mortality rate",-,vector[6],,,
cyear,transformed parameters,predicted catch at age vector (changes every year),-,vector[6],,,
syear,transformed parameters,predicted spawners at age for the years (changes every year),-,vector[6],,,
sageyear,transformed parameters,"matrix of predicted spawners across all years and age classes, copies the syear vector ",-,array[41]vector[6],,,
ccwt,transformed parameters,predicted coded wire tag catch for each year and age class calculated from Ncwt and fishing survival sfish,"Ca,t",array[41]vector[6],,,
scwt,transformed parameters,predicted number of spawners with CWT for each year and age class calculated from Ncwt and various mortality rates,"Sa,t",array[41]vector[6],,,
spawners,transformed parameters,sum of spawners in a given year across all age classes (sum of syear),-,vector[41],,,
tcatch,transformed parameters,sum of catch in a given year across all age classes (sum of cyear),-,vector[41],,,
eggtime,transformed parameters,egg production in each year summed across age classes (used for debugging),E,vector[41],,,
meggyear,transformed parameters,timeseries of egg-smolt mortality rate predicted by ricker relationship,MES,vector[41],,,
logpredesc,transformed parameters,"log of sum of spawners for each year, plus a ""tiny"" variable, used for the likelihood for logobsesc",-,vector[41],,,
moplot,transformed parameters,"first year ocean mortality with additional mortality of hatch releases, for plotting first year mortality",-,vector[41],,,
movpa,transformed parameters,"array of mo variable across each year and age class, copies mo directly",-,array[41]vector[5],,,
matt,transformed parameters,"calculated inverse logit of estimated logit_matt variable, fixed for age classes 1 and 6, used to calculate spawners at each age/year",-,array[41]vector[6],,,
ft,transformed parameters,"annual instantaneous fishing mortality rate, sum of estimated base fishing mortality rate (scaled by RelRegF) + fishing anomaly",F,real,,,
eggs,transformed parameters,variable to accumulate egg production for each age class within a year - then gets copied to eggtime for total egg production timeseries,-,real,,,
megg,transformed parameters,ricker prediction of egg-smolt mortality rate,-,real,,,
cbrood,transformed parameters,"array of cwt catches converted to brood year, with ""tiny"" number added for the likelihood calculation",-,array[41]vector[6],,,
cbrood2,transformed parameters,"array of cwt catches adjusted for cwt sampling rate, converted to brood year, with ""tiny"" number added for the likelihood calculation",-,array[41]vector[6],,,
ebrood,transformed parameters,"array of cwt escapement converted to brood year, with ""tiny"" number added for the likelihood calculation",-,array[41]vector[6],,,
ebrood2,transformed parameters,"array of cwt escapement adjust for cwt sampling rate, converted to brood year, with ""tiny"" number added for the likelihood calculation",-,array[41]vector[6],,,
